"Age","kmDriven","Transmission","Owner","FuelType","AskPrice","LogAskPrice","isLuxury","kmPerYear","Brand_model"
3,42000,2,2,1,2550000,14.7516039171346,0,14000,366
10,71000,1,2,3,395000,12.8866410438833,0,7100,319
4,40000,2,1,1,1195000,13.9936567433477,0,10000,171
14,83000,2,2,3,235000,12.3673407931263,0,5928.57142857143,104
12,149728.625,2,2,1,1650000,14.3162858458768,0,12477.3854166667,363
20,70899,2,2,3,98000,11.4927227576527,0,3544.95,335
5,91000,2,1,1,1149000,13.9544025568309,0,18200,199
2,27000,2,1,1,1865000,14.4387716110601,0,13500,342
6,77620,1,1,1,1350000,14.1156151504146,0,12936.6666666667,90
7,85000,2,2,1,649999,13.3847261034091,1,12142.8571428571,61
8,58,1,2,3,186000,12.1335019526953,0,7.25,338
8,25,2,2,1,420000,12.9480099902596,0,3.125,219
18,20024,2,1,3,20000,9.90348755253613,0,1112.44444444444,186
10,80000,2,2,3,375556,12.8361628735542,0,8000,100
5,35000,1,2,3,1185000,13.9852533325514,0,7000,380
8,77000,1,1,3,575000,13.2621253197795,0,9625,75
6,63259,1,2,1,520000,13.1615840905576,0,10543.1666666667,218
7,110000,2,1,1,449999,13.0170006395218,1,15714.2857142857,61
1,14000,1,1,3,925000,13.7375490164946,0,14000,104
6,52000,1,1,1,1915000,14.4652281805969,0,8666.66666666667,383
13,45000,1,2,1,7500000,15.8304135785065,1,3461.53846153846,248
8,65000,1,2,1,1325000,14.0969230174025,1,8125,17
8,75000,1,2,1,595000,13.2963166845278,0,9375,303
17,135000,2,2,1,165000,12.0137007528827,0,7941.17647058824,218
10,105000,2,2,1,780000,13.5670491986658,0,10500,365
8,149728.625,1,2,1,2800000,14.8451299751454,1,18716.078125,141
11,61000,1,2,1,851000,13.6541674075555,1,5545.45454545455,24
1,21209,2,1,3,1290000,14.0701527763379,0,21209,204
4,87000,2,1,3,733000,13.5049009808688,0,21750,364
8,130000,2,2,1,599000,13.3030168770976,0,16250,303
9,125000,1,2,1,1075000,13.8878312195439,1,13888.8888888889,394
6,30000,1,1,3,355000,12.7798730684576,0,5000,349
9,78561,1,1,1,898970,13.7090049424854,1,8729,8
8,63000,2,2,3,6e+05,13.3046849341983,0,7875,74
8,65000,2,1,3,410000,12.9239124386805,0,8125,71
9,102000,1,2,3,450000,13.0170028617465,0,11333.3333333333,381
2,35000,1,1,3,745000,13.5211394973617,0,17500,218
2,50000,1,1,3,1299000,14.0771052956527,0,25000,387
11,60000,1,2,3,299000,12.6081988523728,0,5454.54545454545,184
10,72000,1,2,1,1599000,14.2848889918161,1,7200,20
11,53000,1,2,3,1600000,14.28551418721,0,4818.18181818182,278
6,74000,2,2,1,850000,13.6529916284665,0,12333.3333333333,362
1,29000,1,1,3,2295000,14.6462434014768,0,29000,268
8,20800,1,2,3,1700000,14.3461388090264,1,2600,245
7,95000,2,2,3,565000,13.2445810101286,0,13571.4285714286,104
3,13000,1,1,1,1700000,14.3461388090264,0,4333.33333333333,171
1,4000,2,1,3,2100000,14.5574479026937,0,4000,179
3,57000,1,2,3,685000,13.4371741172444,0,19000,190
2,25000,1,1,1,2725000,14.8179789860795,0,12500,150
7,92000,2,1,1,1050000,13.8643007221337,0,13142.8571428571,165
3,12110,1,1,3,1295000,14.0740212531158,0,4036.66666666667,266
2,13162,1,1,3,975000,13.79019274998,0,6581,108
7,49000,2,1,3,599000,13.3030168770976,0,7000,362
8,68000,2,2,3,265000,12.4874851049684,0,8500,188
11,110000,1,2,1,1150000,13.9552725003394,1,10000,8
7,52355,2,1,3,499555,13.1214729811192,0,7479.28571428571,93
11,40595,1,2,3,310000,12.6443275764613,0,3690.45454545455,103
3,41000,2,2,1,1450000,14.1870741143968,0,13666.6666666667,171
10,77500,1,2,3,1010000,13.8254608888174,0,7750,212
6,55000,2,1,3,595000,13.2963166845278,0,9166.66666666667,219
11,80000,1,2,3,145000,11.8844890214027,0,7272.72727272727,103
0,7000,1,1,3,12700000,16.3571125514288,1,Inf,137
8,71000,1,2,3,1990000,14.5036451967007,1,8875,253
17,65000,2,2,3,185000,12.1281111040605,0,3823.52941176471,112
5,69000,1,1,1,2699000,14.8083918920001,0,13800,366
5,90000,2,1,1,9e+05,13.7101500423064,0,18000,199
15,79742,2,2,3,165000,12.0137007528827,0,5316.13333333333,52
7,45000,1,2,1,1690000,14.3402390868993,1,6428.57142857143,10
2,8000,1,1,1,3375000,15.0319058822888,0,4000,366
12,51000,1,2,3,260000,12.4684369099977,0,4250,360
5,71000,1,1,1,2550000,14.7516039171346,1,14200,19
8,25700,1,1,3,26400000,17.0888745681165,1,3212.5,2
9,58000,1,1,1,2149999,14.5809779349875,1,6444.44444444444,243
0,2596,2,1,1,3899999,15.1764868546896,0,Inf,363
1,24500,1,1,3,1410000,14.1591002623544,0,24500,171
3,125000,2,1,1,1075000,13.8878312195439,0,41666.6666666667,74
7,79000,1,2,3,6e+05,13.3046849341983,0,11285.7142857143,196
5,118000,1,2,1,1999000,14.5081576134825,0,23600,366
7,75000,1,1,1,4e+06,15.2018049190842,1,10714.2857142857,20
7,105000,2,2,1,620000,13.3374747570213,0,15000,151
3,35000,2,1,3,851000,13.6541674075555,0,11666.6666666667,209
7,51000,1,1,1,3500000,15.0682735264596,1,7285.71428571429,9
2,30891,1,1,1,1875000,14.4441192173866,0,15445.5,135
1,2500,1,1,3,1800000,14.4032972228664,0,2500,88
5,32000,2,2,3,575000,13.2621253197795,0,6400,218
3,66000,2,1,1,1425000,14.1696823716849,0,22000,171
8,75000,1,1,3,1375000,14.1339642890828,1,9375,393
5,71000,2,1,1,1275000,14.0584567365747,0,14200,268
13,51000,1,2,3,1350000,14.1156151504146,1,3923.07692307692,8
9,75000,1,2,3,310000,12.6443275764613,0,8333.33333333333,187
6,39500,2,1,3,545000,13.2085410736454,0,6583.33333333333,93
6,120000,2,1,1,8e+05,13.5923670066501,0,20000,302
12,68900,1,2,1,555000,13.2267233927286,0,5741.66666666667,379
7,68000,1,1,1,3090000,14.9436816488739,1,9714.28571428571,247
9,80000,1,2,3,465000,13.0497926845695,1,8888.88888888889,61
5,62000,2,1,3,360000,12.7938593104323,0,12400,187
2,55000,2,1,1,1250000,14.0386541092785,0,27500,116
9,60000,2,2,3,460000,13.0389817684653,0,6666.66666666667,380
7,34000,2,1,1,1395000,14.1484049732376,0,4857.14285714286,366
7,49000,1,1,3,1151111,13.9562381209343,0,7000,130
8,36000,2,2,3,450000,13.0170028617465,0,4500,104
8,85000,2,2,1,320000,12.6760762747759,0,10625,157
1,35000,1,2,1,1050000,13.8643007221337,0,35000,152
9,149728.625,2,2,1,275000,12.5245263766487,0,16636.5138888889,71
14,141000,2,2,1,330000,12.7068479334427,0,10071.4285714286,218
12,23100,1,2,1,4795000,15.3830842662997,1,1925,141
10,1e+05,2,1,3,950000,13.7642172635767,0,10000,118
8,88000,2,2,1,860000,13.6646876682297,0,11000,92
1,5100,1,1,3,8900000,16.0015618347024,1,5100,300
7,76000,2,2,3,480000,13.0815413828841,0,10857.1428571429,196
5,50000,1,2,1,4e+06,15.2018049190842,1,10000,27
10,48000,1,1,1,1745000,14.3722651136187,1,4800,261
0,16666,1,1,1,2599999,14.7710216183763,0,Inf,179
2,38917,2,1,3,1225000,14.018451401961,0,19458.5,316
8,55000,1,1,3,655000,13.3923905146174,0,6875,190
9,84000,2,2,1,5e+05,13.1223633774043,0,9333.33333333333,292
10,120000,1,2,1,550000,13.2176735572087,0,12000,92
2,8638,2,1,3,1150000,13.9552725003394,0,4319,199
11,62000,2,2,3,350000,12.7656884334656,0,5636.36363636364,221
11,62000,2,2,3,350000,12.7656884334656,0,5636.36363636364,221
10,86131,2,2,1,3e+05,12.6115377536383,0,8613.1,71
3,29000,1,1,3,765000,13.5476311128087,0,9666.66666666667,218
0,260,2,1,3,1495000,14.2176367648069,0,Inf,266
1,15120,1,1,3,1550000,14.2537654888954,0,15120,118
3,21000,2,2,3,535000,13.1900220258781,0,7000,323
2,11000,1,1,3,1850000,14.4306961970545,0,5500,269
7,63000,2,1,3,750000,13.5278284855125,0,9000,196
3,41189,1,1,3,1225000,14.018451401961,0,13729.6666666667,319
2,20000,2,1,1,1945000,14.4807725350347,0,10000,166
13,64000,1,2,1,975000,13.79019274998,1,4923.07692307692,243
4,62500,2,1,1,945000,13.7589402064759,0,15625,135
12,121000,2,1,1,4e+05,12.8992198260901,0,10083.3333333333,365
6,38000,2,2,3,480000,13.0815413828841,0,6333.33333333333,218
3,30000,1,1,1,1540000,14.2472929743898,0,10000,171
14,130000,2,2,1,260000,12.4684369099977,0,9285.71428571429,220
3,71000,2,1,3,475000,13.0710700830168,0,23666.6666666667,226
1,4800,1,2,1,1950000,14.4833399305399,0,4800,90
7,59000,2,1,3,515000,13.1519221796459,0,8428.57142857143,190
13,75875,1,2,3,295000,12.594730635322,0,5836.53846153846,74
4,109000,2,1,1,975000,13.79019274998,0,27250,135
18,92000,1,2,1,5e+05,13.1223633774043,1,5111.11111111111,247
10,41000,1,2,1,2525000,14.7417516206916,0,4100,128
2,76000,2,1,3,1e+06,13.8155105579643,0,38000,231
4,12000,1,1,3,4450000,15.3084146541424,0,3000,273
8,81982,1,1,1,695000,13.4516671245469,0,10247.75,118
14,51258,2,1,1,199000,12.2010601037066,0,3661.28571428571,180
7,59000,2,1,1,850000,13.6529916284665,0,8428.57142857143,165
6,39000,1,2,1,5950000,15.5989017775218,1,6500,262
3,38000,1,1,3,1155000,13.959610901938,0,12666.6666666667,199
0,6000,1,1,3,1150000,13.9552725003394,0,Inf,218
8,53000,1,2,1,1399000,14.1512682536476,1,6625,17
10,99000,1,2,1,1750000,14.3751263458997,1,9900,19
12,73595,1,2,3,699000,13.4574060212159,1,6132.91666666667,247
6,51000,2,1,3,475000,13.0710700830168,0,8500,100
6,57546,1,1,3,849999,13.6529904519952,0,9591,118
8,96000,1,2,1,2300000,14.6484196808994,1,12000,243
6,21000,1,2,3,4500000,15.3195879547405,1,3500,23
6,48000,1,2,3,535000,13.1900220258781,0,8000,218
13,22000,2,1,3,299999,12.6115344202994,0,1692.30769230769,386
3,40000,1,1,1,4100000,15.2264975316745,0,13333.3333333333,363
3,22864,1,1,3,1095000,13.9062649212327,0,7621.33333333333,231
7,64000,2,1,1,585000,13.279367126214,0,9142.85714285714,224
11,88000,2,1,1,410000,12.9239124386805,0,8000,100
